"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Walter Andreas Graf","M",30,"SUI",1968,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Gillis Emanuel Grafstrm","M",30,"SWE",1924,"Figure Skating Men's Singles","Gold",9798871,50579.67365,25,9,7.314,428
"Gillis Emanuel Grafstrm","M",34,"SWE",1928,"Figure Skating Men's Singles","Gold",9798871,50579.67365,25,9,7.314,428
"Gillis Emanuel Grafstrm","M",38,"SWE",1932,"Figure Skating Men's Singles","Silver",9798871,50579.67365,25,9,7.314,428
"Catherine Michelle ""Cammi"" Granato (-Ferraro)","F",26,"USA",1998,"Ice Hockey Women's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Catherine Michelle ""Cammi"" Granato (-Ferraro)","F",30,"USA",2002,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Cdric Grand","M",30,"SUI",2006,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"David Granger","M",24,"USA",1928,"Bobsleigh Men's Four/Five","Silver",321418820,56115.71843,36,18,6.886,635
"Mikael Antero Granlund","M",21,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Kthe Grasegger (-Deuschl)","F",18,"GER",1936,"Alpine Skiing Women's Combined","Silver",81413145,41313.31399,240,15,6.965,386
"Israel Jean Orval Gravelle","M",20,"CAN",1948,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Clifford Barton ""Cliff"" Gray","M",36,"USA",1928,"Bobsleigh Men's Four/Five","Gold",321418820,56115.71843,36,18,6.886,635
"Clifford Barton ""Cliff"" Gray","M",40,"USA",1932,"Bobsleigh Men's Four","Gold",321418820,56115.71843,36,18,6.886,635
"Eugene ""Gene"" Grazia","M",25,"USA",1960,"Ice Hockey Men's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Nancy Catherine Greene (-Raine)","F",24,"CAN",1968,"Alpine Skiing Women's Giant Slalom","Gold",35851774,43248.52991,4,7,7.328,611
"Nancy Catherine Greene (-Raine)","F",24,"CAN",1968,"Alpine Skiing Women's Slalom","Silver",35851774,43248.52991,4,7,7.328,611
"Jessica Gregg","F",21,"CAN",2010,"Short Track Speed Skating Women's 3,000 metres Relay","Silver",35851774,43248.52991,4,7,7.328,611
"Simone Greiner-Petter-Memm","F",26,"GER",1994,"Biathlon Women's 4 x 7.5 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Michael Greis","M",29,"GER",2006,"Biathlon Men's 15 kilometres Mass Start","Gold",81413145,41313.31399,240,15,6.965,386
"Michael Greis","M",29,"GER",2006,"Biathlon Men's 20 kilometres","Gold",81413145,41313.31399,240,15,6.965,386
"Michael Greis","M",29,"GER",2006,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Jamie Greubel (-Poser)","F",30,"USA",2014,"Bobsleigh Women's Two","Bronze",321418820,56115.71843,36,18,6.886,635
"Damian Grichting","M",28,"SUI",2002,"Curling Men's Curling","Bronze",8286976,80945.07922,219,5,7.487,275
"Vladimir Viktorovich Grigoryev","M",31,"RUS",2014,"Short Track Speed Skating Men's 1,000 metres","Silver",144096812,9092.580536,9,59,5.81,260
"Vladimir Viktorovich Grigoryev","M",31,"RUS",2014,"Short Track Speed Skating Men's 5,000 metres Relay","Gold",144096812,9092.580536,9,59,5.81,260
"Mark R. Grimmette","M",27,"USA",1998,"Luge Mixed (Men)'s Doubles","Bronze",321418820,56115.71843,36,18,6.886,635
"Mark R. Grimmette","M",31,"USA",2002,"Luge Mixed (Men)'s Doubles","Silver",321418820,56115.71843,36,18,6.886,635
"Anthon Grimsmo","M",29,"NOR",1998,"Curling Men's Curling","Bronze",5195921,74400.36978,15,2,7.594,443
"Lars Grini","M",23,"NOR",1968,"Ski Jumping Men's Large Hill, Individual","Bronze",5195921,74400.36978,15,2,7.594,443
"Sergey Mikhaylovich Grinkov","M",27,"RUS",1994,"Figure Skating Mixed Pairs","Gold",144096812,9092.580536,9,59,5.81,260
"Oksana Vladimirovna ""Pasha"" Grishchuk","F",22,"RUS",1994,"Figure Skating Mixed Ice Dancing","Gold",144096812,9092.580536,9,59,5.81,260
"Oksana Vladimirovna ""Pasha"" Grishchuk","F",26,"RUS",1998,"Figure Skating Mixed Ice Dancing","Gold",144096812,9092.580536,9,59,5.81,260
"James David ""Jim"" Grogan","M",20,"USA",1952,"Figure Skating Men's Singles","Bronze",321418820,56115.71843,36,18,6.886,635
"Tuomas Oskar Grnman","M",23,"FIN",1998,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Piero Gros","M",21,"ITA",1976,"Alpine Skiing Men's Slalom","Gold",60802085,29957.80432,206,47,6,191
"Ricco Gro","M",21,"GER",1992,"Biathlon Men's 10 kilometres Sprint","Silver",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",21,"GER",1992,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",23,"GER",1994,"Biathlon Men's 10 kilometres Sprint","Silver",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",23,"GER",1994,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",27,"GER",1998,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",31,"GER",2002,"Biathlon Men's 12.5 kilometres Pursuit","Bronze",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",31,"GER",2002,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Ricco Gro","M",35,"GER",2006,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Kristina Nicole Groves","F",29,"CAN",2006,"Speed Skating Women's 1,500 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Kristina Nicole Groves","F",29,"CAN",2006,"Speed Skating Women's Team Pursuit (6 laps)","Silver",35851774,43248.52991,4,7,7.328,611
"Kristina Nicole Groves","F",33,"CAN",2010,"Speed Skating Women's 1,500 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Kristina Nicole Groves","F",33,"CAN",2010,"Speed Skating Women's 3,000 metres","Bronze",35851774,43248.52991,4,7,7.328,611
"Bernhard Gruber","M",27,"AUT",2010,"Nordic Combined Men's Large Hill / 10 km, Individual","Bronze",8611088,43774.98517,109,12,7.139,280
"Bernhard Gruber","M",27,"AUT",2010,"Nordic Combined Men's Team","Gold",8611088,43774.98517,109,12,7.139,280
"Bernhard Gruber","M",31,"AUT",2014,"Nordic Combined Men's Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Herbert Gruber","M",25,"AUT",1968,"Bobsleigh Men's Four","Silver",8611088,43774.98517,109,12,7.139,280
"Michael Gruber","M",22,"AUT",2002,"Nordic Combined Men's Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Michael Gruber","M",26,"AUT",2006,"Nordic Combined Men's Team","Gold",8611088,43774.98517,109,12,7.139,280
"Andreas ""Andi"" Grnenfelder","M",27,"SUI",1988,"Cross Country Skiing Men's 50 kilometres","Bronze",8286976,80945.07922,219,5,7.487,275
"Harald Grnningen","M",25,"NOR",1960,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Harald Grnningen","M",29,"NOR",1964,"Cross Country Skiing Men's 15 kilometres","Silver",5195921,74400.36978,15,2,7.594,443
"Harald Grnningen","M",29,"NOR",1964,"Cross Country Skiing Men's 30 kilometres","Silver",5195921,74400.36978,15,2,7.594,443
"Harald Grnningen","M",33,"NOR",1968,"Cross Country Skiing Men's 15 kilometres","Gold",5195921,74400.36978,15,2,7.594,443
"Harald Grnningen","M",33,"NOR",1968,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Audun Grnvold","M",33,"NOR",2010,"Freestyle Skiing Men's Ski Cross","Bronze",5195921,74400.36978,15,2,7.594,443
"Roar Grnvold","M",25,"NOR",1972,"Speed Skating Men's 1,500 metres","Silver",5195921,74400.36978,15,2,7.594,443
"Roar Grnvold","M",25,"NOR",1972,"Speed Skating Men's 5,000 metres","Silver",5195921,74400.36978,15,2,7.594,443
"Johan Hagbart Pedersen Grttumsbraaten","M",24,"NOR",1924,"Cross Country Skiing Men's 18 kilometres","Silver",5195921,74400.36978,15,2,7.594,443
"Johan Hagbart Pedersen Grttumsbraaten","M",24,"NOR",1924,"Nordic Combined Men's Individual","Bronze",5195921,74400.36978,15,2,7.594,443
"Johan Hagbart Pedersen Grttumsbraaten","M",24,"NOR",1924,"Cross Country Skiing Men's 50 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Johan Hagbart Pedersen Grttumsbraaten","M",28,"NOR",1928,"Cross Country Skiing Men's 18 kilometres","Gold",5195921,74400.36978,15,2,7.594,443
"Johan Hagbart Pedersen Grttumsbraaten","M",28,"NOR",1928,"Nordic Combined Men's Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Johan Hagbart Pedersen Grttumsbraaten","M",32,"NOR",1932,"Nordic Combined Men's Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Peter Gschnitzer","M",26,"ITA",1980,"Luge Mixed (Men)'s Doubles","Silver",60802085,29957.80432,206,47,6,191
"Bernhard Gstrein","M",22,"AUT",1988,"Alpine Skiing Men's Combined","Silver",8611088,43774.98517,109,12,7.139,280
"Marcia Gudereit (Schiml-)","F",32,"CAN",1998,"Curling Women's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"William Robert ""Bill"" Guerin","M",31,"USA",2002,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Jonathan Guilmette","M",23,"CAN",2002,"Short Track Speed Skating Men's 500 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Jonathan Guilmette","M",23,"CAN",2002,"Short Track Speed Skating Men's 5,000 metres Relay","Gold",35851774,43248.52991,4,7,7.328,611
"Jonathan Guilmette","M",27,"CAN",2006,"Short Track Speed Skating Men's 5,000 metres Relay","Silver",35851774,43248.52991,4,7,7.328,611
"Chanda Leigh Gunn","F",26,"USA",2006,"Ice Hockey Women's Ice Hockey","Bronze",321418820,56115.71843,36,18,6.886,635
"Stig-Arne Gunnestad","M",35,"NOR",1998,"Curling Men's Curling","Bronze",5195921,74400.36978,15,2,7.594,443
"Aleksey Vasilyevich Gusarov","M",33,"RUS",1998,"Ice Hockey Men's Ice Hockey","Silver",144096812,9092.580536,9,59,5.81,260
"Bradley Raymond ""Brad"" Gushue","M",25,"CAN",2006,"Curling Men's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"Karin Elisabet Gustafson (Johansson-)","F",33,"SWE",1998,"Curling Women's Curling","Bronze",9798871,50579.67365,25,9,7.314,428
"Sven Tomas Gustafson","M",24,"SWE",1984,"Speed Skating Men's 5,000 metres","Gold",9798871,50579.67365,25,9,7.314,428
"Sven Tomas Gustafson","M",24,"SWE",1984,"Speed Skating Men's 10,000 metres","Silver",9798871,50579.67365,25,9,7.314,428
"Sven Tomas Gustafson","M",28,"SWE",1988,"Speed Skating Men's 5,000 metres","Gold",9798871,50579.67365,25,9,7.314,428
"Sven Tomas Gustafson","M",28,"SWE",1988,"Speed Skating Men's 10,000 metres","Gold",9798871,50579.67365,25,9,7.314,428
"Toini Gustafsson (Karvonen-, -Rnnlund)","F",26,"SWE",1964,"Cross Country Skiing Women's 3 x 5 kilometres Relay","Silver",9798871,50579.67365,25,9,7.314,428
"Toini Gustafsson (Karvonen-, -Rnnlund)","F",30,"SWE",1968,"Cross Country Skiing Women's 5 kilometres","Gold",9798871,50579.67365,25,9,7.314,428
"Toini Gustafsson (Karvonen-, -Rnnlund)","F",30,"SWE",1968,"Cross Country Skiing Women's 10 kilometres","Gold",9798871,50579.67365,25,9,7.314,428
"Toini Gustafsson (Karvonen-, -Rnnlund)","F",30,"SWE",1968,"Cross Country Skiing Women's 3 x 5 kilometres Relay","Silver",9798871,50579.67365,25,9,7.314,428
"Lara Gut","F",22,"SUI",2014,"Alpine Skiing Women's Downhill","Bronze",8286976,80945.07922,219,5,7.487,275
"Patrick ""Patsy"" Guzzo","M",30,"CAN",1948,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Anna Margret Haag (Hansson-)","F",23,"SWE",2010,"Cross Country Skiing Women's 15 km Skiathlon","Silver",9798871,50579.67365,25,9,7.314,428
"Anna Margret Haag (Hansson-)","F",23,"SWE",2010,"Cross Country Skiing Women's Team Sprint","Silver",9798871,50579.67365,25,9,7.314,428
"Anna Margret Haag (Hansson-)","F",27,"SWE",2014,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Gold",9798871,50579.67365,25,9,7.314,428
"Christl Haas","F",20,"AUT",1964,"Alpine Skiing Women's Downhill","Gold",8611088,43774.98517,109,12,7.139,280
"Christl Haas","F",24,"AUT",1968,"Alpine Skiing Women's Downhill","Bronze",8611088,43774.98517,109,12,7.139,280
"Josef Haas","M",30,"SUI",1968,"Cross Country Skiing Men's 50 kilometres","Bronze",8286976,80945.07922,219,5,7.487,275
"Helga Haase (Obschernitzki-)","F",25,"GER",1960,"Speed Skating Women's 500 metres","Gold",81413145,41313.31399,240,15,6.965,386
"Helga Haase (Obschernitzki-)","F",25,"GER",1960,"Speed Skating Women's 1,000 metres","Silver",81413145,41313.31399,240,15,6.965,386
"Georg Hackl","M",25,"GER",1992,"Luge Men's Singles","Gold",81413145,41313.31399,240,15,6.965,386
"Georg Hackl","M",27,"GER",1994,"Luge Men's Singles","Gold",81413145,41313.31399,240,15,6.965,386
"Georg Hackl","M",31,"GER",1998,"Luge Men's Singles","Gold",81413145,41313.31399,240,15,6.965,386
"Georg Hackl","M",35,"GER",2002,"Luge Men's Singles","Silver",81413145,41313.31399,240,15,6.965,386
"Michael Florian Hadschieff","M",24,"AUT",1988,"Speed Skating Men's 1,500 metres","Bronze",8611088,43774.98517,109,12,7.139,280
"Michael Florian Hadschieff","M",24,"AUT",1988,"Speed Skating Men's 10,000 metres","Silver",8611088,43774.98517,109,12,7.139,280
"Carl Oliver Ruud Hagelin","M",25,"SWE",2014,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Oddbjrn Hagen","M",28,"NOR",1936,"Cross Country Skiing Men's 18 kilometres","Silver",5195921,74400.36978,15,2,7.594,443
"Oddbjrn Hagen","M",28,"NOR",1936,"Nordic Combined Men's Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Oddbjrn Hagen","M",28,"NOR",1936,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Olav Ingvaldsen Hagen","M",26,"NOR",1948,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",5195921,74400.36978,15,2,7.594,443
"Jamie Hagerman","F",24,"USA",2006,"Ice Hockey Women's Ice Hockey","Bronze",321418820,56115.71843,36,18,6.886,635
"James ""Jim"" Haggarty","M",21,"CAN",1936,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Johan Artur Hggblad","M",27,"SWE",1936,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",9798871,50579.67365,25,9,7.314,428
"Hans Lennart Hggroth","M",23,"SWE",1964,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Niklas Hagman","M",26,"FIN",2006,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Niklas Hagman","M",30,"FIN",2010,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Gerhard Haidacher","M",28,"AUT",1992,"Bobsleigh Men's Four","Gold",8611088,43774.98517,109,12,7.139,280
"Veikko Johannes Hakulinen","M",27,"FIN",1952,"Cross Country Skiing Men's 50 kilometres","Gold",5482013,42311.03623,18,1,7.632,426
"Veikko Johannes Hakulinen","M",31,"FIN",1956,"Cross Country Skiing Men's 30 kilometres","Gold",5482013,42311.03623,18,1,7.632,426
"Veikko Johannes Hakulinen","M",31,"FIN",1956,"Cross Country Skiing Men's 50 kilometres","Silver",5482013,42311.03623,18,1,7.632,426
"Veikko Johannes Hakulinen","M",31,"FIN",1956,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5482013,42311.03623,18,1,7.632,426
"Veikko Johannes Hakulinen","M",35,"FIN",1960,"Cross Country Skiing Men's 15 kilometres","Bronze",5482013,42311.03623,18,1,7.632,426
"Veikko Johannes Hakulinen","M",35,"FIN",1960,"Cross Country Skiing Men's 50 kilometres","Silver",5482013,42311.03623,18,1,7.632,426
"Veikko Johannes Hakulinen","M",35,"FIN",1960,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Wallace Edwin ""Wally"" Halder","M",22,"CAN",1948,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Gerard Hallock, III","M",26,"USA",1932,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Kalle Niilo Ponteva Halonen","M",19,"FIN",1960,"Ski Jumping Men's Normal Hill, Individual","Silver",5482013,42311.03623,18,1,7.632,426
"Jan Ivar Halvarsson","M",25,"SWE",1968,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",9798871,50579.67365,25,9,7.314,428
"Vesa Erik Hmlinen","M",28,"FIN",1994,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Kalevi Nikolai Hmlinen","M",27,"FIN",1960,"Cross Country Skiing Men's 50 kilometres","Gold",5482013,42311.03623,18,1,7.632,426
"Charles Hamelin","M",21,"CAN",2006,"Short Track Speed Skating Men's 5,000 metres Relay","Silver",35851774,43248.52991,4,7,7.328,611
"Charles Hamelin","M",25,"CAN",2010,"Short Track Speed Skating Men's 500 metres","Gold",35851774,43248.52991,4,7,7.328,611
"Charles Hamelin","M",25,"CAN",2010,"Short Track Speed Skating Men's 5,000 metres Relay","Gold",35851774,43248.52991,4,7,7.328,611
"Charles Hamelin","M",29,"CAN",2014,"Short Track Speed Skating Men's 1,500 metres","Gold",35851774,43248.52991,4,7,7.328,611
"Franois Hamelin","M",23,"CAN",2010,"Short Track Speed Skating Men's 5,000 metres Relay","Gold",35851774,43248.52991,4,7,7.328,611
"Daniel ""Dan"" Hamhuis","M",31,"CAN",2014,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Dorothy Stuart Hamill (-Martin, -Forsythe)","F",19,"USA",1976,"Figure Skating Women's Singles","Gold",321418820,56115.71843,36,18,6.886,635
"Scott Scovell Hamilton","M",25,"USA",1984,"Figure Skating Men's Singles","Gold",321418820,56115.71843,36,18,6.886,635
"Erin Mullady Hamlin","F",27,"USA",2014,"Luge Women's Singles","Bronze",321418820,56115.71843,36,18,6.886,635
"Therese ""Resi"" Hammerer (-Giger)","F",22,"AUT",1948,"Alpine Skiing Women's Downhill","Bronze",8611088,43774.98517,109,12,7.139,280
"Olaf Hampel","M",28,"GER",1994,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Olaf Hampel","M",32,"GER",1998,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Emil Handschin","M",19,"SUI",1948,"Ice Hockey Men's Ice Hockey","Bronze",8286976,80945.07922,219,5,7.487,275
"Halvard Hanevold","M",28,"NOR",1998,"Biathlon Men's 20 kilometres","Gold",5195921,74400.36978,15,2,7.594,443
"Halvard Hanevold","M",28,"NOR",1998,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Halvard Hanevold","M",32,"NOR",2002,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Halvard Hanevold","M",36,"NOR",2006,"Biathlon Men's 10 kilometres Sprint","Silver",5195921,74400.36978,15,2,7.594,443
"Halvard Hanevold","M",36,"NOR",2006,"Biathlon Men's 20 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Halvard Hanevold","M",40,"NOR",2010,"Biathlon Men's 4 x 7.5 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"David Patrick ""Dave"" Hannan","M",30,"CAN",1992,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Sven Hannawald (Phler-)","M",23,"GER",1998,"Ski Jumping Men's Large Hill, Team","Silver",81413145,41313.31399,240,15,6.965,386
"Sven Hannawald (Phler-)","M",27,"GER",2002,"Ski Jumping Men's Normal Hill, Individual","Silver",81413145,41313.31399,240,15,6.965,386
"Sven Hannawald (Phler-)","M",27,"GER",2002,"Ski Jumping Men's Large Hill, Team","Gold",81413145,41313.31399,240,15,6.965,386
"Ren Hannemann","M",23,"GER",1992,"Bobsleigh Men's Four","Silver",81413145,41313.31399,240,15,6.965,386
"Ren Hannemann","M",25,"GER",1994,"Bobsleigh Men's Four","Bronze",81413145,41313.31399,240,15,6.965,386
"Kirsi Maaria Hnninen","F",21,"FIN",1998,"Ice Hockey Women's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Mika Stefan Hannula","M",26,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Ralph Lawrence Hansch","M",27,"CAN",1952,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Brian Hansen","M",19,"USA",2010,"Speed Skating Men's Team Pursuit (8 laps)","Silver",321418820,56115.71843,36,18,6.886,635
"Kent Roger Hansson","M",26,"SWE",1994,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Janne Mikael Happonen","M",21,"FIN",2006,"Ski Jumping Men's Large Hill, Team","Silver",5482013,42311.03623,18,1,7.632,426
"Norman Edward ""Ted"" Hargreaves","M",24,"CAN",1968,"Ice Hockey Men's Ice Hockey","Bronze",35851774,43248.52991,4,7,7.328,611
"David A. Harlock","M",22,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Eric J. ""E.J."" Harnden","M",30,"CAN",2014,"Curling Men's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"Ryan Harnden","M",27,"CAN",2014,"Curling Men's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"John Michael Harrington","M",22,"USA",1980,"Ice Hockey Men's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Michael ""Mike"" Harris","M",30,"CAN",1998,"Curling Men's Curling","Silver",35851774,43248.52991,4,7,7.328,611
"Clifford ""Cliff"" Harrison","M",24,"USA",1952,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Richard Hart","M",29,"CAN",1998,"Curling Men's Curling","Silver",35851774,43248.52991,4,7,7.328,611
"Johannes ""Johs"" Harviken","M",28,"NOR",1972,"Cross Country Skiing Men's 30 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Johannes ""Johs"" Harviken","M",28,"NOR",1972,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Oswald Haselrieder","M",34,"ITA",2006,"Luge Mixed (Men)'s Doubles","Bronze",60802085,29957.80432,206,47,6,191
"Heikki Vihtori Hasu","M",21,"FIN",1948,"Nordic Combined Men's Individual","Gold",5482013,42311.03623,18,1,7.632,426
"Heikki Vihtori Hasu","M",25,"FIN",1952,"Nordic Combined Men's Individual","Silver",5482013,42311.03623,18,1,7.632,426
"Heikki Vihtori Hasu","M",25,"FIN",1952,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Ola Vigen Hattestad","M",31,"NOR",2014,"Cross Country Skiing Men's Sprint","Gold",5195921,74400.36978,15,2,7.594,443
"Stine Lise Hattestad (-Bratsberg)","F",25,"NOR",1992,"Freestyle Skiing Women's Moguls","Bronze",5195921,74400.36978,15,2,7.594,443
"Stine Lise Hattestad (-Bratsberg)","F",27,"NOR",1994,"Freestyle Skiing Women's Moguls","Gold",5195921,74400.36978,15,2,7.594,443
"Thorleif Haug (Johnsen-)","M",29,"NOR",1924,"Cross Country Skiing Men's 18 kilometres","Gold",5195921,74400.36978,15,2,7.594,443
"Thorleif Haug (Johnsen-)","M",29,"NOR",1924,"Nordic Combined Men's Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Thorleif Haug (Johnsen-)","M",29,"NOR",1924,"Cross Country Skiing Men's 50 kilometres","Gold",5195921,74400.36978,15,2,7.594,443
"Anders Olsen Haugen","M",35,"USA",1924,"Ski Jumping Men's Normal Hill, Individual","Bronze",321418820,56115.71843,36,18,6.886,635
"Villy Haugen","M",19,"NOR",1964,"Speed Skating Men's 1,500 metres","Bronze",5195921,74400.36978,15,2,7.594,443
"Sverre Ingolf Haugli","M",26,"NOR",1952,"Speed Skating Men's 5,000 metres","Bronze",5195921,74400.36978,15,2,7.594,443
"Eduard ""Edi"" Hauser","M",23,"SUI",1972,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",8286976,80945.07922,219,5,7.487,275
"Jan Hauser","M",25,"SUI",2010,"Curling Men's Curling","Bronze",8286976,80945.07922,219,5,7.487,275
"Simone Hye-Soon Hauswald (Denkinger-)","F",30,"GER",2010,"Biathlon Women's 12.5 kilometres Mass Start","Bronze",81413145,41313.31399,240,15,6.965,386
"Simone Hye-Soon Hauswald (Denkinger-)","F",30,"GER",2010,"Biathlon Women's 4 x 6 kilometres Relay","Bronze",81413145,41313.31399,240,15,6.965,386
"Matti Antero Hautamki","M",20,"FIN",2002,"Ski Jumping Men's Large Hill, Individual","Bronze",5482013,42311.03623,18,1,7.632,426
"Matti Antero Hautamki","M",20,"FIN",2002,"Ski Jumping Men's Large Hill, Team","Silver",5482013,42311.03623,18,1,7.632,426
"Matti Antero Hautamki","M",24,"FIN",2006,"Ski Jumping Men's Normal Hill, Individual","Silver",5482013,42311.03623,18,1,7.632,426
"Matti Antero Hautamki","M",24,"FIN",2006,"Ski Jumping Men's Large Hill, Team","Silver",5482013,42311.03623,18,1,7.632,426
"Anders Niclas Hvelid","M",32,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Michael Haybck","M",22,"AUT",2014,"Ski Jumping Men's Large Hill, Team","Silver",8611088,43774.98517,109,12,7.139,280
"Todd Dennys Hays","M",32,"USA",2002,"Bobsleigh Men's Four","Silver",321418820,56115.71843,36,18,6.886,635
"Donald Charles ""Don"" Head","M",26,"CAN",1960,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Geraldine Anne Heaney","F",30,"CAN",1998,"Ice Hockey Women's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Geraldine Anne Heaney","F",34,"CAN",2002,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Daniel James ""Dany"" Heatley","M",29,"CAN",2010,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"John Rutherford ""Jack"" Heaton","M",19,"USA",1928,"Skeleton Men's Skeleton","Silver",321418820,56115.71843,36,18,6.886,635
