"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Thomas Lars Wassberg","M",23,"SWE",1980,"Cross Country Skiing Men's 15 kilometres","Gold",9798871,50579.67365,25,9,7.314,428
"Thomas Lars Wassberg","M",27,"SWE",1984,"Cross Country Skiing Men's 50 kilometres","Gold",9798871,50579.67365,25,9,7.314,428
"Thomas Lars Wassberg","M",27,"SWE",1984,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",9798871,50579.67365,25,9,7.314,428
"Thomas Lars Wassberg","M",31,"SWE",1988,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",9798871,50579.67365,25,9,7.314,428
"Markus Wasser","M",29,"SUI",1998,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
"Tara Leigh-Anne Watchorn","F",23,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Harold Ellis ""Harry"" Watson","M",25,"CAN",1924,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Jill Marilynn Watson","F",24,"USA",1988,"Figure Skating Mixed Pairs","Bronze",321418820,56115.71843,36,18,6.886,635
"Robert McDonald ""Bob"" Watt","M",24,"CAN",1952,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Ola Wrhaug","M",30,"NOR",1968,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Katherine Marie ""Katie"" Weatherston","F",22,"CAN",2006,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Shea Michael Weber","M",24,"CAN",2010,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Shea Michael Weber","M",28,"CAN",2014,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Gustav Weder","M",30,"SUI",1992,"Bobsleigh Men's Two","Gold",8286976,80945.07922,219,5,7.487,275
"Gustav Weder","M",30,"SUI",1992,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Gustav Weder","M",32,"SUI",1994,"Bobsleigh Men's Two","Gold",8286976,80945.07922,219,5,7.487,275
"Gustav Weder","M",32,"SUI",1994,"Bobsleigh Men's Four","Silver",8286976,80945.07922,219,5,7.487,275
